Date,AAPL,MSFT,XOM,BP
2017-09-26,153.13999938964844,73.26000213623047,80.88999938964844,37.869998931884766
2017-09-27,154.22999572753906,73.8499984741211,81.43000030517578,38.02000045776367
2017-09-28,153.27999877929688,73.87000274658203,82.19000244140625,38.41999816894531
2017-09-29,154.1199951171875,74.48999786376953,81.9800033569336,38.43000030517578
2017-10-02,153.80999755859375,74.61000061035156,81.62999725341797,38.38999938964844
2017-10-03,154.47999572753906,74.26000213623047,81.76000213623047,38.70000076293945
2017-10-04,153.47999572753906,74.69000244140625,81.79000091552734,38.650001525878906
2017-10-05,155.38999938964844,75.97000122070312,82.0199966430664,38.61000061035156
2017-10-06,155.3000030517578,76.0,81.70999908447266,38.2599983215332
2017-10-09,155.83999633789062,76.29000091552734,82.02999877929688,38.459999084472656
2017-10-10,155.89999389648438,76.29000091552734,82.26000213623047,38.810001373291016
2017-10-11,156.5500030517578,76.41999816894531,82.5999984741211,38.849998474121094
2017-10-12,156.0,77.12000274658203,82.43000030517578,39.0099983215332
2017-10-13,156.99000549316406,77.48999786376953,82.41000366210938,39.099998474121094
2017-10-16,159.8800048828125,77.6500015258789,82.80999755859375,39.189998626708984
2017-10-17,160.47000122070312,77.58999633789062,82.95999908447266,38.689998626708984
2017-10-18,159.75999450683594,77.61000061035156,82.76000213623047,38.720001220703125
2017-10-19,155.97999572753906,77.91000366210938,82.73999786376953,38.75
2017-10-20,156.25,78.80999755859375,83.11000061035156,38.75
2017-10-23,156.1699981689453,78.83000183105469,83.23999786376953,38.790000915527344
2017-10-24,157.10000610351562,78.86000061035156,83.47000122070312,39.0
2017-10-25,156.41000366210938,78.62999725341797,83.16999816894531,38.790000915527344
2017-10-26,157.41000366210938,78.76000213623047,83.47000122070312,38.650001525878906
2017-10-27,163.0500030517578,83.80999755859375,83.70999908447266,39.099998474121094
2017-10-30,166.72000122070312,83.88999938964844,83.54000091552734,39.619998931884766
2017-10-31,169.0399932861328,83.18000030517578,83.3499984741211,40.66999816894531
2017-11-01,166.88999938964844,83.18000030517578,83.87000274658203,40.7599983215332
2017-11-02,168.11000061035156,84.05000305175781,83.52999877929688,40.66999816894531
